gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
6163374898	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/617436917/original.jpg	https://www.inaturalist.org/photos/617436917					2026-02-19T19:40:43Z	lewisbholmes		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	lewisbholmes
6163368513	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/588833881/original.jpg	https://www.inaturalist.org/photos/588833881					2025-10-31T13:42:25Z	pgkaestner		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	pgkaestner
6163368513	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/588833964/original.jpg	https://www.inaturalist.org/photos/588833964					2025-10-31T13:42:25Z	pgkaestner		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	pgkaestner
6163368513	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/588833839/original.jpg	https://www.inaturalist.org/photos/588833839					2025-10-31T13:42:25Z	pgkaestner		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	pgkaestner
6163368513	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/588833802/original.jpg	https://www.inaturalist.org/photos/588833802					2025-10-31T13:42:25Z	pgkaestner		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	pgkaestner
6163349909	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/561608112/original.jpg	https://www.inaturalist.org/photos/561608112					2025-09-01T13:48:11Z	mvc70		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mvc70
6163327331	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/617723180/original.jpg	https://www.inaturalist.org/photos/617723180					2026-02-21T15:00:10Z	Phil Chaon		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Phil Chaon
6163220913	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/616787909/original.jpg	https://www.inaturalist.org/photos/616787909					2026-02-17T15:02:18Z	Marion Barlow		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marion Barlow
6163213639	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/618417579/original.jpg	https://www.inaturalist.org/photos/618417579					2026-02-22T18:49:54Z	Sebas Arango		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sebas Arango
6163213639	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/618417588/original.jpg	https://www.inaturalist.org/photos/618417588					2026-02-22T18:49:53Z	Sebas Arango		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sebas Arango
6163202652	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/618276580/original.jpg	https://www.inaturalist.org/photos/618276580					2026-02-20T21:50:41Z	mattbeagle		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mattbeagle
6163178306	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/91164612/original.jpeg	https://www.inaturalist.org/photos/91164612					2020-06-23T04:38:00Z	Sebas Arango		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sebas Arango
6163178306	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/91164561/original.jpeg	https://www.inaturalist.org/photos/91164561					2020-06-23T04:37:49Z	Sebas Arango		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sebas Arango
6163155268	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/617103287/original.jpg	https://www.inaturalist.org/photos/617103287					2026-02-18T19:59:38Z	oik0s		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	oik0s
6163155268	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/617103329/original.jpg	https://www.inaturalist.org/photos/617103329					2026-02-18T20:02:36Z	oik0s		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	oik0s
6163155268	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/617103248/original.jpg	https://www.inaturalist.org/photos/617103248					2026-02-18T20:02:46Z	oik0s		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	oik0s
6163111692	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/610149259/original.jpg	https://www.inaturalist.org/photos/610149259					2026-01-17T20:44:50Z	Chase Mathey		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Chase Mathey
6163111692	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/610149224/original.jpg	https://www.inaturalist.org/photos/610149224					2026-01-17T20:44:55Z	Chase Mathey		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Chase Mathey
