RAW IMAGES SUMMARY – BioPlatform Caldas
Generated: 2026-03-06 02:00:32 UTC
==========================================================================================

Total especies:     754
Total imágenes:     43,917 (originales: 43,917, augmentadas: 0)
Umbral:             20
Aptas (≥20):       749
No aptas (<20):     5

DISTRIBUCIÓN POR RANGO
----------------------------------------
     1-9:     0
   10-19:     5
   20-49:    30
   50-99:   658
    100+:    61

DISTRIBUCIÓN POR REINO
------------------------------------------------------------------------------------------
Reino           │ Especies │ Imágenes │ Original │  Augment │    ≥20
------------------------------------------------------------------------------------------
Animalia        │      544 │    33591 │    33591 │        0 │    542
Fungi           │        7 │      272 │      272 │        0 │      5
Plantae         │      203 │    10054 │    10054 │        0 │    202

DETALLE POR ESPECIE (ordenado por: count_desc)
------------------------------------------------------------------------------------------
    # │ Especie                                       │ Reino        │  Total │   Orig │   Aug
------------------------------------------------------------------------------------------
   70 │ Buthraupis montana                            │ Animalia     │     91 │     91 │     0 ✓
   71 │ Cinclus leucocephalus                         │ Animalia     │     90 │     90 │     0 ✓
   72 │ Pionus menstruus                              │ Animalia     │     89 │     89 │     0 ✓
   73 │ Chlorophanes spiza                            │ Animalia     │     89 │     89 │     0 ✓
   74 │ Lafresnaya lafresnayi                         │ Animalia     │     89 │     89 │     0 ✓
   75 │ Coeligena coeligena                           │ Animalia     │     88 │     88 │     0 ✓
   76 │ Molothrus bonariensis                         │ Animalia     │     87 │     87 │     0 ✓
   77 │ Buteo platypterus                             │ Animalia     │     86 │     86 │     0 ✓
   78 │ Columbina talpacoti                           │ Animalia     │     86 │     86 │     0 ✓
   79 │ Diglossa albilatera                           │ Animalia     │     86 │     86 │     0 ✓
   80 │ Amazilia tzacatl                              │ Animalia     │     84 │     84 │     0 ✓
   81 │ Trogon personatus                             │ Animalia     │     84 │     84 │     0 ✓
   82 │ Vanessa carye                                 │ Animalia     │     83 │     83 │     0 ✓
   83 │ Vanellus chilensis                            │ Animalia     │     83 │     83 │     0 ✓
   84 │ Forpus conspicillatus                         │ Animalia     │     83 │     83 │     0 ✓
   85 │ Zingiber spectabile                           │ Plantae      │     82 │     82 │     0 ✓
   86 │ Metallura tyrianthina                         │ Animalia     │     81 │     81 │     0 ✓
   87 │ Troglodytes solstitialis                      │ Animalia     │     80 │     80 │     0 ✓
   88 │ Stilpnia heinei                               │ Animalia     │     79 │     79 │     0 ✓
   89 │ Lepidocolaptes lacrymiger                     │ Animalia     │     78 │     78 │     0 ✓
   90 │ Pyrocephalus rubinus                          │ Animalia     │     78 │     78 │     0 ✓
   91 │ Sayornis nigricans                            │ Animalia     │     78 │     78 │     0 ✓
   92 │ Malacoptila mystacalis                        │ Animalia     │     77 │     77 │     0 ✓
   93 │ Golofa porteri                                │ Animalia     │     76 │     76 │     0 ✓
   94 │ Stilpnia cyanicollis                          │ Animalia     │     76 │     76 │     0 ✓
   95 │ Anolis antonii                                │ Animalia     │     75 │     75 │     0 ✓
   96 │ Ascalapha odorata                             │ Animalia     │     74 │     74 │     0 ✓
   97 │ Margarornis squamiger                         │ Animalia     │     74 │     74 │     0 ✓
   98 │ Notiochelidon cyanoleuca                      │ Animalia     │     74 │     74 │     0 ✓
   99 │ Amastus thalassina                            │ Animalia     │     73 │     73 │     0 ✓
  100 │ Zentrygon frenata                             │ Animalia     │     72 │     72 │     0 ✓
  101 │ Grallaria nuchalis                            │ Animalia     │     72 │     72 │     0 ✓
  102 │ Ramphocelus dimidiatus                        │ Animalia     │     72 │     72 │     0 ✓
  103 │ Icterus chrysater                             │ Animalia     │     71 │     71 │     0 ✓
  104 │ Myioborus miniatus                            │ Animalia     │     71 │     71 │     0 ✓
  105 │ Eriocnemis mosquera                           │ Animalia     │     71 │     71 │     0 ✓
  106 │ Manacus vitellinus                            │ Animalia     │     70 │     70 │     0 ✓
  107 │ Atlapetes pallidinucha                        │ Animalia     │     69 │     69 │     0 ✓
  108 │ Iguana iguana                                 │ Animalia     │     69 │     69 │     0 ✓
  109 │ Kohleria affinis                              │ Plantae      │     69 │     69 │     0 ✓
  110 │ Crotophaga ani                                │ Animalia     │     68 │     68 │     0 ✓
  111 │ Caracara plancus                              │ Animalia     │     67 │     67 │     0 ✓
  112 │ Uranomitra franciae                           │ Animalia     │     65 │     65 │     0 ✓
  113 │ Lasiophila prosymna                           │ Animalia     │     64 │     64 │     0 ✓
