RAW IMAGES SUMMARY – BioPlatform Caldas
Generated: 2026-03-06 02:00:32 UTC
==========================================================================================

Total especies:     754
Total imágenes:     43,917 (originales: 43,917, augmentadas: 0)
Umbral:             20
Aptas (≥20):       749
No aptas (<20):     5

DISTRIBUCIÓN POR RANGO
----------------------------------------
     1-9:     0
   10-19:     5
   20-49:    30
   50-99:   658
    100+:    61

DISTRIBUCIÓN POR REINO
------------------------------------------------------------------------------------------
Reino           │ Especies │ Imágenes │ Original │  Augment │    ≥20
------------------------------------------------------------------------------------------
Animalia        │      544 │    33591 │    33591 │        0 │    542
Fungi           │        7 │      272 │      272 │        0 │      5
Plantae         │      203 │    10054 │    10054 │        0 │    202

DETALLE POR ESPECIE (ordenado por: count_desc)
------------------------------------------------------------------------------------------
    # │ Especie                                       │ Reino        │  Total │   Orig │   Aug
------------------------------------------------------------------------------------------
  288 │ Oxysternon conspicillatum                     │ Animalia     │     50 │     50 │     0 ✓
  289 │ Adhemarius sexoculata                         │ Animalia     │     50 │     50 │     0 ✓
  290 │ Erinnyis ello                                 │ Animalia     │     50 │     50 │     0 ✓
  291 │ Euryglottis aper                              │ Animalia     │     50 │     50 │     0 ✓
  292 │ Manduca rustica                               │ Animalia     │     50 │     50 │     0 ✓
  293 │ Pseudosphinx tetrio                           │ Animalia     │     50 │     50 │     0 ✓
  294 │ Raphiocera ornata                             │ Animalia     │     50 │     50 │     0 ✓
  295 │ Markia hystrix                                │ Animalia     │     50 │     50 │     0 ✓
  296 │ Pycnopalpa bicordata                          │ Animalia     │     50 │     50 │     0 ✓
  297 │ Urania fulgens                                │ Animalia     │     50 │     50 │     0 ✓
  298 │ Synoeca septentrionalis                       │ Animalia     │     50 │     50 │     0 ✓
  299 │ Rhinella horribilis                           │ Animalia     │     50 │     50 │     0 ✓
  300 │ Espadarana prosoblepon                        │ Animalia     │     50 │     50 │     0 ✓
  301 │ Nymphargus grandisonae                        │ Animalia     │     50 │     50 │     0 ✓
  302 │ Pristimantis thectopternus                    │ Animalia     │     50 │     50 │     0 ✓
  303 │ Andinobates daleswansoni                      │ Animalia     │     50 │     50 │     0 ✓
  304 │ Dendrobates truncatus                         │ Animalia     │     50 │     50 │     0 ✓
  305 │ Boana platanera                               │ Animalia     │     50 │     50 │     0 ✓
  306 │ Boana pugnax                                  │ Animalia     │     50 │     50 │     0 ✓
  307 │ Bolitoglossa lozanoi                          │ Animalia     │     50 │     50 │     0 ✓
  308 │ Busarellus nigricollis                        │ Animalia     │     50 │     50 │     0 ✓
  309 │ Buteo albicaudatus                            │ Animalia     │     50 │     50 │     0 ✓
  310 │ Buteo brachyurus                              │ Animalia     │     50 │     50 │     0 ✓
  311 │ Elanoides forficatus                          │ Animalia     │     50 │     50 │     0 ✓
  312 │ Geranoaetus melanoleucus                      │ Animalia     │     50 │     50 │     0 ✓
  313 │ Leucopternis princeps                         │ Animalia     │     50 │     50 │     0 ✓
  314 │ Spizaetus tyrannus                            │ Animalia     │     50 │     50 │     0 ✓
  315 │ Chloroceryle americana                        │ Animalia     │     50 │     50 │     0 ✓
  316 │ Megaceryle torquata                           │ Animalia     │     50 │     50 │     0 ✓
  317 │ Merganetta armata                             │ Animalia     │     50 │     50 │     0 ✓
  318 │ Chauna chavaria                               │ Animalia     │     50 │     50 │     0 ✓
  319 │ Streptoprocne zonaris                         │ Animalia     │     50 │     50 │     0 ✓
  320 │ Ardea alba                                    │ Animalia     │     50 │     50 │     0 ✓
  321 │ Ardea cocoi                                   │ Animalia     │     50 │     50 │     0 ✓
  322 │ Butorides striata                             │ Animalia     │     50 │     50 │     0 ✓
  323 │ Egretta thula                                 │ Animalia     │     50 │     50 │     0 ✓
  324 │ Nycticorax nycticorax                         │ Animalia     │     50 │     50 │     0 ✓
  325 │ Tigrisoma lineatum                            │ Animalia     │     50 │     50 │     0 ✓
  326 │ Capito hypoleucus                             │ Animalia     │     50 │     50 │     0 ✓
  327 │ Eubucco bourcierii                            │ Animalia     │     50 │     50 │     0 ✓
  328 │ Uropsalis lyra                                │ Animalia     │     50 │     50 │     0 ✓
  329 │ Pheucticus ludovicianus                       │ Animalia     │     50 │     50 │     0 ✓
  330 │ Piranga flava                                 │ Animalia     │     50 │     50 │     0 ✓
  331 │ Cathartes aura                                │ Animalia     │     50 │     50 │     0 ✓
  332 │ Vultur gryphus                                │ Animalia     │     50 │     50 │     0 ✓
  333 │ Leptotila plumbeiceps                         │ Animalia     │     50 │     50 │     0 ✓
  334 │ Patagioenas cayennensis                       │ Animalia     │     50 │     50 │     0 ✓
  335 │ Patagioenas fasciata                          │ Animalia     │     50 │     50 │     0 ✓
  336 │ Cyanocorax affinis                            │ Animalia     │     50 │     50 │     0 ✓
  337 │ Cyanocorax yncas                              │ Animalia     │     50 │     50 │     0 ✓
  338 │ Cyanolyca armillata                           │ Animalia     │     50 │     50 │     0 ✓
  339 │ Ampelioides tschudii                          │ Animalia     │     50 │     50 │     0 ✓
  340 │ Ampelion rubrocristatus                       │ Animalia     │     50 │     50 │     0 ✓
  341 │ Ampelion rufaxilla                            │ Animalia     │     50 │     50 │     0 ✓
  342 │ Lipaugus fuscocinereus                        │ Animalia     │     50 │     50 │     0 ✓
  343 │ Pachyramphus polychopterus                    │ Animalia     │     50 │     50 │     0 ✓
  344 │ Pipreola jucunda                              │ Animalia     │     50 │     50 │     0 ✓
  345 │ Rupicola peruvianus                           │ Animalia     │     50 │     50 │     0 ✓
  346 │ Tityra semifasciata                           │ Animalia     │     50 │     50 │     0 ✓
  347 │ Donacobius atricapilla                        │ Animalia     │     50 │     50 │     0 ✓
  348 │ Falco sparverius                              │ Animalia     │     50 │     50 │     0 ✓
  349 │ Herpetotheres cachinnans                      │ Animalia     │     50 │     50 │     0 ✓
  350 │ Euphonia cyanocephala                         │ Animalia     │     50 │     50 │     0 ✓
  351 │ Euphonia xanthogaster                         │ Animalia     │     50 │     50 │     0 ✓
  352 │ Spinus psaltria                               │ Animalia     │     50 │     50 │     0 ✓
  353 │ Spinus xanthogastrus                          │ Animalia     │     50 │     50 │     0 ✓
  354 │ Certhiaxis cinnamomeus                        │ Animalia     │     50 │     50 │     0 ✓
  355 │ Cinclodes excelsior                           │ Animalia     │     50 │     50 │     0 ✓
  356 │ Dendrocincla fuliginosa                       │ Animalia     │     50 │     50 │     0 ✓
  357 │ Lepidocolaptes souleyetii                     │ Animalia     │     50 │     50 │     0 ✓
  358 │ Pseudocolaptes boissonneautii                 │ Animalia     │     50 │     50 │     0 ✓
  359 │ Synallaxis azarae                             │ Animalia     │     50 │     50 │     0 ✓
  360 │ Xenops rutilans                               │ Animalia     │     50 │     50 │     0 ✓
  361 │ Xiphocolaptes promeropirhynchus               │ Animalia     │     50 │     50 │     0 ✓
  362 │ Stelgidopteryx ruficollis                     │ Animalia     │     50 │     50 │     0 ✓
  363 │ Cacicus chrysonotus                           │ Animalia     │     50 │     50 │     0 ✓
  364 │ Chrysomus icterocephalus                      │ Animalia     │     50 │     50 │     0 ✓
  365 │ Hypopyrrhus pyrohypogaster                    │ Animalia     │     50 │     50 │     0 ✓
  366 │ Icterus nigrogularis                          │ Animalia     │     50 │     50 │     0 ✓
  367 │ Psarocolius angustifrons                      │ Animalia     │     50 │     50 │     0 ✓
  368 │ Quiscalus mexicanus                           │ Animalia     │     50 │     50 │     0 ✓
  369 │ Jacana jacana                                 │ Animalia     │     50 │     50 │     0 ✓
  370 │ Mimus gilvus                                  │ Animalia     │     50 │     50 │     0 ✓
  371 │ Nyctibius griseus                             │ Animalia     │     50 │     50 │     0 ✓
  372 │ Pandion haliaetus                             │ Animalia     │     50 │     50 │     0 ✓
  373 │ Basileuterus culicivorus                      │ Animalia     │     50 │     50 │     0 ✓
  374 │ Cardellina canadensis                         │ Animalia     │     50 │     50 │     0 ✓
  375 │ Mniotilta varia                               │ Animalia     │     50 │     50 │     0 ✓
  376 │ Myiothlypis coronata                          │ Animalia     │     50 │     50 │     0 ✓
  377 │ Myiothlypis fulvicauda                        │ Animalia     │     50 │     50 │     0 ✓
  378 │ Myiothlypis nigrocristata                     │ Animalia     │     50 │     50 │     0 ✓
  379 │ Setophaga aestiva                             │ Animalia     │     50 │     50 │     0 ✓
  380 │ Setophaga castanea                            │ Animalia     │     50 │     50 │     0 ✓
  381 │ Setophaga pitiayumi                           │ Animalia     │     50 │     50 │     0 ✓
  382 │ Arremon brunneinucha                          │ Animalia     │     50 │     50 │     0 ✓
  383 │ Atlapetes albinucha                           │ Animalia     │     50 │     50 │     0 ✓
  384 │ Atlapetes flaviceps                           │ Animalia     │     50 │     50 │     0 ✓
  385 │ Chlorospingus flavopectus                     │ Animalia     │     50 │     50 │     0 ✓
  386 │ Phalacrocorax brasilianus                     │ Animalia     │     50 │     50 │     0 ✓
  387 │ Campephilus pollens                           │ Animalia     │     50 │     50 │     0 ✓
  388 │ Colaptes punctigula                           │ Animalia     │     50 │     50 │     0 ✓
  389 │ Colaptes rubiginosus                          │ Animalia     │     50 │     50 │     0 ✓
  390 │ Dryocopus lineatus                            │ Animalia     │     50 │     50 │     0 ✓
  391 │ Leuconotopicus fumigatus                      │ Animalia     │     50 │     50 │     0 ✓
  392 │ Melanerpes pulcher                            │ Animalia     │     50 │     50 │     0 ✓
  393 │ Picumnus granadensis                          │ Animalia     │     50 │     50 │     0 ✓
  394 │ Veniliornis dignus                            │ Animalia     │     50 │     50 │     0 ✓
  395 │ Machaeropterus deliciosus                     │ Animalia     │     50 │     50 │     0 ✓
  396 │ Machaeropterus striolatus                     │ Animalia     │     50 │     50 │     0 ✓
  397 │ Manacus manacus                               │ Animalia     │     50 │     50 │     0 ✓
  398 │ Pipra erythrocephala                          │ Animalia     │     50 │     50 │     0 ✓
  399 │ Amazona mercenaria                            │ Animalia     │     50 │     50 │     0 ✓
  400 │ Ara severus                                   │ Animalia     │     50 │     50 │     0 ✓
  401 │ Aratinga pertinax                             │ Animalia     │     50 │     50 │     0 ✓
  402 │ Aratinga wagleri                              │ Animalia     │     50 │     50 │     0 ✓
  403 │ Bolborhynchus ferrugineifrons                 │ Animalia     │     50 │     50 │     0 ✓
  404 │ Hapalopsittaca amazonina                      │ Animalia     │     50 │     50 │     0 ✓
  405 │ Ognorhynchus icterotis                        │ Animalia     │     50 │     50 │     0 ✓
  406 │ Pionus chalcopterus                           │ Animalia     │     50 │     50 │     0 ✓
  407 │ Gallinula chloropus                           │ Animalia     │     50 │     50 │     0 ✓
  408 │ Porphyrio martinica                           │ Animalia     │     50 │     50 │     0 ✓
  409 │ Aulacorhynchus haematopygus                   │ Animalia     │     50 │     50 │     0 ✓
  410 │ Pteroglossus torquatus                        │ Animalia     │     50 │     50 │     0 ✓
  411 │ Ramphastos citreolaemus                       │ Animalia     │     50 │     50 │     0 ✓
  412 │ Acropternis orthonyx                          │ Animalia     │     50 │     50 │     0 ✓
  413 │ Tringa solitaria                              │ Animalia     │     50 │     50 │     0 ✓
  414 │ Asio stygius                                  │ Animalia     │     50 │     50 │     0 ✓
  415 │ Megascops choliba                             │ Animalia     │     50 │     50 │     0 ✓
  416 │ Pulsatrix perspicillata                       │ Animalia     │     50 │     50 │     0 ✓
  417 │ Hafferia immaculata                           │ Animalia     │     50 │     50 │     0 ✓
  418 │ Thamnophilus multistriatus                    │ Animalia     │     50 │     50 │     0 ✓
  419 │ Bangsia melanochlamys                         │ Animalia     │     50 │     50 │     0 ✓
  420 │ Catamblyrhynchus diadema                      │ Animalia     │     50 │     50 │     0 ✓
  421 │ Catamenia homochroa                           │ Animalia     │     50 │     50 │     0 ✓
  422 │ Catamenia inornata                            │ Animalia     │     50 │     50 │     0 ✓
  423 │ Chlorornis riefferii                          │ Animalia     │     50 │     50 │     0 ✓
  424 │ Cnemathraupis eximia                          │ Animalia     │     50 │     50 │     0 ✓
  425 │ Coereba flaveola                              │ Animalia     │     50 │     50 │     0 ✓
  426 │ Conirostrum albifrons                         │ Animalia     │     50 │     50 │     0 ✓
  427 │ Conirostrum sitticolor                        │ Animalia     │     50 │     50 │     0 ✓
  428 │ Diglossa humeralis                            │ Animalia     │     50 │     50 │     0 ✓
  429 │ Diglossa lafresnayii                          │ Animalia     │     50 │     50 │     0 ✓
  430 │ Dubusia taeniata                              │ Animalia     │     50 │     50 │     0 ✓
  431 │ Geospizopsis unicolor                         │ Animalia     │     50 │     50 │     0 ✓
  432 │ Hemithraupis guira                            │ Animalia     │     50 │     50 │     0 ✓
  433 │ Iridosornis porphyrocephalus                  │ Animalia     │     50 │     50 │     0 ✓
  434 │ Iridosornis rufivertex                        │ Animalia     │     50 │     50 │     0 ✓
  435 │ Saltator atripennis                           │ Animalia     │     50 │     50 │     0 ✓
  436 │ Saltator cinctus                              │ Animalia     │     50 │     50 │     0 ✓
  437 │ Saltator striatipectus                        │ Animalia     │     50 │     50 │     0 ✓
  438 │ Sericossypha albocristata                     │ Animalia     │     50 │     50 │     0 ✓
  439 │ Sphenopsis frontalis                          │ Animalia     │     50 │     50 │     0 ✓
  440 │ Sphenopsis melanotis                          │ Animalia     │     50 │     50 │     0 ✓
  441 │ Sporophila crassirostris                      │ Animalia     │     50 │     50 │     0 ✓
  442 │ Sporophila intermedia                         │ Animalia     │     50 │     50 │     0 ✓
  443 │ Sporophila luctuosa                           │ Animalia     │     50 │     50 │     0 ✓
  444 │ Sporophila minuta                             │ Animalia     │     50 │     50 │     0 ✓
  445 │ Tachyphonus rufus                             │ Animalia     │     50 │     50 │     0 ✓
  446 │ Tangara icterocephala                         │ Animalia     │     50 │     50 │     0 ✓
  447 │ Tangara labradorides                          │ Animalia     │     50 │     50 │     0 ✓
  448 │ Tangara vassorii                              │ Animalia     │     50 │     50 │     0 ✓
  449 │ Tangara xanthocephala                         │ Animalia     │     50 │     50 │     0 ✓
  450 │ Tersina viridis                               │ Animalia     │     50 │     50 │     0 ✓
  451 │ Tiaris olivaceus                              │ Animalia     │     50 │     50 │     0 ✓
  452 │ Volatinia jacarina                            │ Animalia     │     50 │     50 │     0 ✓
  453 │ Crypturellus soui                             │ Animalia     │     50 │     50 │     0 ✓
  454 │ Aglaiocercus coelestis                        │ Animalia     │     50 │     50 │     0 ✓
  455 │ Anthracothorax nigricollis                    │ Animalia     │     50 │     50 │     0 ✓
  456 │ Boissonneaua jardini                          │ Animalia     │     50 │     50 │     0 ✓
  457 │ Calliphlox mitchellii                         │ Animalia     │     50 │     50 │     0 ✓
  458 │ Chalybura buffonii                            │ Animalia     │     50 │     50 │     0 ✓
  459 │ Chlorostilbon melanorhynchus                  │ Animalia     │     50 │     50 │     0 ✓
  460 │ Coeligena wilsoni                             │ Animalia     │     50 │     50 │     0 ✓
  461 │ Eriocnemis derbyi                             │ Animalia     │     50 │     50 │     0 ✓
  462 │ Heliodoxa imperatrix                          │ Animalia     │     50 │     50 │     0 ✓
  463 │ Heliomaster longirostris                      │ Animalia     │     50 │     50 │     0 ✓
  464 │ Metallura williami                            │ Animalia     │     50 │     50 │     0 ✓
  465 │ Ocreatus underwoodii                          │ Animalia     │     50 │     50 │     0 ✓
  466 │ Phaethornis guy                               │ Animalia     │     50 │     50 │     0 ✓
  467 │ Ramphomicron microrhynchum                    │ Animalia     │     50 │     50 │     0 ✓
  468 │ Schistes albogularis                          │ Animalia     │     50 │     50 │     0 ✓
  469 │ Thalurania colombica                          │ Animalia     │     50 │     50 │     0 ✓
  470 │ Urosticte benjamini                           │ Animalia     │     50 │     50 │     0 ✓
  471 │ Cinnycerthia olivascens                       │ Animalia     │     50 │     50 │     0 ✓
  472 │ Pheugopedius sclateri                         │ Animalia     │     50 │     50 │     0 ✓
  473 │ Pharomachrus auriceps                         │ Animalia     │     50 │     50 │     0 ✓
  474 │ Catharus fuscater                             │ Animalia     │     50 │     50 │     0 ✓
  475 │ Myadestes ralloides                           │ Animalia     │     50 │     50 │     0 ✓
  476 │ Turdus grayi                                  │ Animalia     │     50 │     50 │     0 ✓
  477 │ Colonia colonus                               │ Animalia     │     50 │     50 │     0 ✓
  478 │ Elaenia flavogaster                           │ Animalia     │     50 │     50 │     0 ✓
  479 │ Elaenia frantzii                              │ Animalia     │     50 │     50 │     0 ✓
  480 │ Fluvicola pica                                │ Animalia     │     50 │     50 │     0 ✓
  481 │ Leptopogon rufipectus                         │ Animalia     │     50 │     50 │     0 ✓
  482 │ Mecocerculus leucophrys                       │ Animalia     │     50 │     50 │     0 ✓
  483 │ Mecocerculus stictopterus                     │ Animalia     │     50 │     50 │     0 ✓
  484 │ Mionectes oleagineus                          │ Animalia     │     50 │     50 │     0 ✓
  485 │ Myiarchus cephalotes                          │ Animalia     │     50 │     50 │     0 ✓
  486 │ Myiodynastes hemichrysus                      │ Animalia     │     50 │     50 │     0 ✓
  487 │ Myiodynastes maculatus                        │ Animalia     │     50 │     50 │     0 ✓
  488 │ Myiotheretes striaticollis                    │ Animalia     │     50 │     50 │     0 ✓
  489 │ Ochthoeca cinnamomeiventris                   │ Animalia     │     50 │     50 │     0 ✓
  490 │ Ochthoeca frontalis                           │ Animalia     │     50 │     50 │     0 ✓
  491 │ Ochthoeca fumicolor                           │ Animalia     │     50 │     50 │     0 ✓
  492 │ Ochthoeca rufipectoralis                      │ Animalia     │     50 │     50 │     0 ✓
  493 │ Serpophaga cinerea                            │ Animalia     │     50 │     50 │     0 ✓
  494 │ Todirostrum cinereum                          │ Animalia     │     50 │     50 │     0 ✓
  495 │ Tyrannus savana                               │ Animalia     │     50 │     50 │     0 ✓
  496 │ Zimmerius chrysops                            │ Animalia     │     50 │     50 │     0 ✓
  497 │ Cyclarhis nigrirostris                        │ Animalia     │     50 │     50 │     0 ✓
  498 │ Hylophilus semibrunneus                       │ Animalia     │     50 │     50 │     0 ✓
  499 │ Vireo leucophrys                              │ Animalia     │     50 │     50 │     0 ✓
  500 │ Caiman crocodilus                             │ Animalia     │     50 │     50 │     0 ✓
  501 │ Aotus griseimembra                            │ Animalia     │     50 │     50 │     0 ✓
  502 │ Aotus lemurinus                               │ Animalia     │     50 │     50 │     0 ✓
  503 │ Alouatta seniculus                            │ Animalia     │     50 │     50 │     0 ✓
  504 │ Saguinus leucopus                             │ Animalia     │     50 │     50 │     0 ✓
  505 │ Cerdocyon thous                               │ Animalia     │     50 │     50 │     0 ✓
  506 │ Dasyprocta punctata                           │ Animalia     │     50 │     50 │     0 ✓
  507 │ Didelphis marsupialis                         │ Animalia     │     50 │     50 │     0 ✓
  508 │ Sylvilagus andinus                            │ Animalia     │     50 │     50 │     0 ✓
  509 │ Eira barbara                                  │ Animalia     │     50 │     50 │     0 ✓
  510 │ Nasua olivacea                                │ Animalia     │     50 │     50 │     0 ✓
  511 │ Potos flavus                                  │ Animalia     │     50 │     50 │     0 ✓
  512 │ Sciurus pucheranii                            │ Animalia     │     50 │     50 │     0 ✓
  513 │ Atractus lehmanni                             │ Animalia     │     50 │     50 │     0 ✓
  514 │ Atractus obesus                               │ Animalia     │     50 │     50 │     0 ✓
  515 │ Chironius monticola                           │ Animalia     │     50 │     50 │     0 ✓
  516 │ Clelia equatoriana                            │ Animalia     │     50 │     50 │     0 ✓
  517 │ Dipsas sanctijoannis                          │ Animalia     │     50 │     50 │     0 ✓
  518 │ Erythrolamprus bizona                         │ Animalia     │     50 │     50 │     0 ✓
  519 │ Erythrolamprus epinephalus                    │ Animalia     │     50 │     50 │     0 ✓
  520 │ Erythrolamprus epinephelus                    │ Animalia     │     50 │     50 │     0 ✓
  521 │ Imantodes cenchoa                             │ Animalia     │     50 │     50 │     0 ✓
  522 │ Leptodeira ornata                             │ Animalia     │     50 │     50 │     0 ✓
  523 │ Oxyrhopus petolarius                          │ Animalia     │     50 │     50 │     0 ✓
  524 │ Spilotes pullatus                             │ Animalia     │     50 │     50 │     0 ✓
  525 │ Tantilla melanocephala                        │ Animalia     │     50 │     50 │     0 ✓
  526 │ Basiliscus galeritus                          │ Animalia     │     50 │     50 │     0 ✓
  527 │ Anolis quimbaya                               │ Animalia     │     50 │     50 │     0 ✓
  528 │ Anolis ventrimaculatus                        │ Animalia     │     50 │     50 │     0 ✓
  529 │ Micrurus mipartitus                           │ Animalia     │     50 │     50 │     0 ✓
  530 │ Hemidactylus frenatus                         │ Animalia     │     50 │     50 │     0 ✓
  531 │ Pholidobolus celsiae                          │ Animalia     │     50 │     50 │     0 ✓
  532 │ Gonatodes albogularis                         │ Animalia     │     50 │     50 │     0 ✓
  533 │ Bothriechis schlegelii                        │ Animalia     │     50 │     50 │     0 ✓
  534 │ Kinosternon leucostomum                       │ Animalia     │     50 │     50 │     0 ✓
  535 │ Lissachatina fulica                           │ Animalia     │     50 │     50 │     0 ✓
  536 │ Cornu aspersum                                │ Animalia     │     50 │     50 │     0 ✓
  537 │ Porphyrobaphe iris                            │ Animalia     │     50 │     50 │     0 ✓
  538 │ Herpothallon rubrocinctum                     │ Fungi        │     50 │     50 │     0 ✓
  539 │ Amanita muscaria                              │ Fungi        │     50 │     50 │     0 ✓
  540 │ Clathrus archeri                              │ Fungi        │     50 │     50 │     0 ✓
  541 │ Lentinus flexipes                             │ Fungi        │     50 │     50 │     0 ✓
  542 │ Coprinellus disseminatus                      │ Fungi        │     50 │     50 │     0 ✓
  543 │ Anthurium crystallinum                        │ Plantae      │     50 │     50 │     0 ✓
  544 │ Zantedeschia aethiopica                       │ Plantae      │     50 │     50 │     0 ✓
  545 │ Ceroxylon quindiuense                         │ Plantae      │     50 │     50 │     0 ✓
  546 │ Chamaedorea linearis                          │ Plantae      │     50 │     50 │     0 ✓
  547 │ Chamaedorea pinnatifrons                      │ Plantae      │     50 │     50 │     0 ✓
  548 │ Geonoma undata                                │ Plantae      │     50 │     50 │     0 ✓
  549 │ Aechmea angustifolia                          │ Plantae      │     50 │     50 │     0 ✓
  550 │ Guzmania multiflora                           │ Plantae      │     50 │     50 │     0 ✓
  551 │ Guzmania triangularis                         │ Plantae      │     50 │     50 │     0 ✓
  552 │ Racinaea tetrantha                            │ Plantae      │     50 │     50 │     0 ✓
  553 │ Tillandsia biflora                            │ Plantae      │     50 │     50 │     0 ✓
  554 │ Tillandsia complanata                         │ Plantae      │     50 │     50 │     0 ✓
  555 │ Tillandsia fendleri                           │ Plantae      │     50 │     50 │     0 ✓
  556 │ Heliconia bihai                               │ Plantae      │     50 │     50 │     0 ✓
  557 │ Heliconia burleana                            │ Plantae      │     50 │     50 │     0 ✓
  558 │ Heliconia griggsiana                          │ Plantae      │     50 │     50 │     0 ✓
  559 │ Heliconia latispatha                          │ Plantae      │     50 │     50 │     0 ✓
  560 │ Crocosmia crocosmiiflora                      │ Plantae      │     50 │     50 │     0 ✓
  561 │ Orthrosanthus chimboracensis                  │ Plantae      │     50 │     50 │     0 ✓
  562 │ Musa velutina                                 │ Plantae      │     50 │     50 │     0 ✓
  563 │ Andinia pilosella                             │ Plantae      │     50 │     50 │     0 ✓
  564 │ Arundina graminifolia                         │ Plantae      │     50 │     50 │     0 ✓
  565 │ Catasetum tabulare                            │ Plantae      │     50 │     50 │     0 ✓
  566 │ Comparettia falcata                           │ Plantae      │     50 │     50 │     0 ✓
  567 │ Cyrtochilum annulare                          │ Plantae      │     50 │     50 │     0 ✓
  568 │ Cyrtochilum diceratum                         │ Plantae      │     50 │     50 │     0 ✓
  569 │ Cyrtochilum divaricatum                       │ Plantae      │     50 │     50 │     0 ✓
  570 │ Cyrtochilum halteratum                        │ Plantae      │     50 │     50 │     0 ✓
  571 │ Cyrtochilum murinum                           │ Plantae      │     50 │     50 │     0 ✓
  572 │ Cyrtochilum scabiosum                         │ Plantae      │     50 │     50 │     0 ✓
  573 │ Cyrtochilum tricostatum                       │ Plantae      │     50 │     50 │     0 ✓
  574 │ Dracula iricolor                              │ Plantae      │     50 │     50 │     0 ✓
  575 │ Elleanthus aurantiacus                        │ Plantae      │     50 │     50 │     0 ✓
  576 │ Epidendrum cleistocoleum                      │ Plantae      │     50 │     50 │     0 ✓
  577 │ Epidendrum cottoniiflorum                     │ Plantae      │     50 │     50 │     0 ✓
  578 │ Epidendrum cylindrostachys                    │ Plantae      │     50 │     50 │     0 ✓
  579 │ Epidendrum melinanthum                        │ Plantae      │     50 │     50 │     0 ✓
  580 │ Epidendrum porphyreum                         │ Plantae      │     50 │     50 │     0 ✓
  581 │ Epidendrum posadarum                          │ Plantae      │     50 │     50 │     0 ✓
  582 │ Lepanthes dunstervilleorum                    │ Plantae      │     50 │     50 │     0 ✓
  583 │ Lepanthes gargantua                           │ Plantae      │     50 │     50 │     0 ✓
  584 │ Lepanthes jardinensis                         │ Plantae      │     50 │     50 │     0 ✓
  585 │ Lepanthes mucronata                           │ Plantae      │     50 │     50 │     0 ✓
  586 │ Lepanthes tachirensis                         │ Plantae      │     50 │     50 │     0 ✓
  587 │ Masdevallia amanda                            │ Plantae      │     50 │     50 │     0 ✓
  588 │ Masdevallia heteroptera                       │ Plantae      │     50 │     50 │     0 ✓
  589 │ Masdevallia hortensis                         │ Plantae      │     50 │     50 │     0 ✓
  590 │ Masdevallia picturata                         │ Plantae      │     50 │     50 │     0 ✓
  591 │ Maxillaria acuminata                          │ Plantae      │     50 │     50 │     0 ✓
  592 │ Maxillaria embreei                            │ Plantae      │     50 │     50 │     0 ✓
  593 │ Maxillaria lepidota                           │ Plantae      │     50 │     50 │     0 ✓
  594 │ Oncidium cultratum                            │ Plantae      │     50 │     50 │     0 ✓
  595 │ Oncidium lehmannii                            │ Plantae      │     50 │     50 │     0 ✓
  596 │ Oncidium luteopurpureum                       │ Plantae      │     50 │     50 │     0 ✓
  597 │ Pleurothallis cordata                         │ Plantae      │     50 │     50 │     0 ✓
  598 │ Pleurothallis matudana                        │ Plantae      │     50 │     50 │     0 ✓
  599 │ Pleurothallis phalangifera                    │ Plantae      │     50 │     50 │     0 ✓
  600 │ Pleurothallis pulvinaris                      │ Plantae      │     50 │     50 │     0 ✓
  601 │ Pleurothallis tetragona                       │ Plantae      │     50 │     50 │     0 ✓
  602 │ Ponthieva fertilis                            │ Plantae      │     50 │     50 │     0 ✓
  603 │ Prosthechea hartwegii                         │ Plantae      │     50 │     50 │     0 ✓
  604 │ Pterostemma antioquiense                      │ Plantae      │     50 │     50 │     0 ✓
  605 │ Rodriguezia lanceolata                        │ Plantae      │     50 │     50 │     0 ✓
  606 │ Scaphyglottis aurea                           │ Plantae      │     50 │     50 │     0 ✓
  607 │ Hedychium coronarium                          │ Plantae      │     50 │     50 │     0 ✓
  608 │ Renealmia cernua                              │ Plantae      │     50 │     50 │     0 ✓
  609 │ Aphelandra runcinata                          │ Plantae      │     50 │     50 │     0 ✓
  610 │ Megaskepasma erythrochlamys                   │ Plantae      │     50 │     50 │     0 ✓
  611 │ Pachystachys lutea                            │ Plantae      │     50 │     50 │     0 ✓
  612 │ Asclepias curassavica                         │ Plantae      │     50 │     50 │     0 ✓
  613 │ Aristolochia cordiflora                       │ Plantae      │     50 │     50 │     0 ✓
  614 │ Baccharis latifolia                           │ Plantae      │     50 │     50 │     0 ✓
  615 │ Crassocephalum crepidioides                   │ Plantae      │     50 │     50 │     0 ✓
  616 │ Erato vulcanica                               │ Plantae      │     50 │     50 │     0 ✓
  617 │ Espeletia hartwegiana                         │ Plantae      │     50 │     50 │     0 ✓
  618 │ Mutisia clematis                              │ Plantae      │     50 │     50 │     0 ✓
  619 │ Senecio niveoaureus                           │ Plantae      │     50 │     50 │     0 ✓
  620 │ Impatiens walleriana                          │ Plantae      │     50 │     50 │     0 ✓
  621 │ Begonia lehmannii                             │ Plantae      │     50 │     50 │     0 ✓
  622 │ Begonia maurandiae                            │ Plantae      │     50 │     50 │     0 ✓
  623 │ Leuenbergeria bleo                            │ Plantae      │     50 │     50 │     0 ✓
  624 │ Rhipsalis baccifera                           │ Plantae      │     50 │     50 │     0 ✓
