species,status,precision_v1,precision_v2,precision_delta,recall_v1,recall_v2,recall_delta,f1_score_v1,f1_score_v2,f1_score_delta,support_v1,support_v2
Epidendrum_fimbriatum,both,0.8,0.8182,0.0182,0.8,0.9,0.1,0.8,0.8571,0.0571,10,10
Epidendrum_melinanthum,both,0.75,1.0,0.25,0.6,0.6,0.0,0.6667,0.75,0.0833,5,5
Epidendrum_porphyreum,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Epidendrum_posadarum,both,1.0,0.8333,-0.1667,1.0,1.0,0.0,1.0,0.9091,-0.0909,5,5
Epiphile_chrysites,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Epiphile_epimenes,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Equisetum_bogotense,both,1.0,0.8,-0.2,0.8,0.8,0.0,0.8889,0.8,-0.0889,5,5
Erato_vulcanica,both,1.0,1.0,0.0,0.6,0.8,0.2,0.75,0.8889,0.1389,5,5
Eresia_clio,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Erinnyis_ello,both,0.8,1.0,0.2,0.8,1.0,0.2,0.8,1.0,0.2,5,5
Eriocnemis_derbyi,both,0.75,1.0,0.25,0.6,0.4,-0.2,0.6667,0.5714,-0.0953,5,5
Eriocnemis_mosquera,both,0.875,0.7273,-0.1477,0.875,1.0,0.125,0.875,0.8421,-0.0329,8,8
Eriophora_edax,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Eryphanis_lycomedon,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Erythrolamprus_bizona,both,1.0,0.8,-0.2,0.8,0.8,0.0,0.8889,0.8,-0.0889,5,5
Erythrolamprus_epinephalus,both,0.5,0.6667,0.1667,0.4,0.4,0.0,0.4444,0.5,0.0556,5,5
Erythrolamprus_epinephelus,both,1.0,1.0,0.0,0.6,0.6,0.0,0.75,0.75,0.0,5,5
Espadarana_prosoblepon,both,0.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.0,5,5
Espeletia_hartwegiana,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Eubucco_bourcierii,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Eudocima_procus,both,0.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.0,5,5
Eueides_procula,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Eulaema_cingulata,both,0.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.0,5,5
Eulaema_meriana,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Eulaema_polychroma,both,0.8,1.0,0.2,0.8,0.8,0.0,0.8,0.8889,0.0889,5,5
Euphonia_cyanocephala,both,0.8333,0.8333,0.0,1.0,1.0,0.0,0.9091,0.9091,0.0,5,5
Euphonia_laniirostris,both,0.6429,0.8182,0.1753,0.8182,0.8182,0.0,0.72,0.8182,0.0982,11,11
Euphonia_xanthogaster,both,1.0,0.8333,-0.1667,1.0,1.0,0.0,1.0,0.9091,-0.0909,5,5
Euphorbia_hirta,both,1.0,1.0,0.0,0.6,0.6,0.0,0.75,0.75,0.0,5,5
Euptychoides_saturnus,both,0.8333,0.8333,0.0,1.0,1.0,0.0,0.9091,0.9091,0.0,5,5
Euryglottis_aper,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Falco_sparverius,both,1.0,1.0,0.0,0.6,0.6,0.0,0.75,0.75,0.0,5,5
Florisuga_mellivora,both,0.875,1.0,0.125,1.0,1.0,0.0,0.9333,1.0,0.0667,7,7
Fluvicola_pica,both,1.0,0.8,-0.2,0.8,0.8,0.0,0.8889,0.8,-0.0889,5,5
Forpus_conspicillatus,both,1.0,1.0,0.0,1.0,0.8889,-0.1111,1.0,0.9412,-0.0588,9,9
Fuchsia_boliviana,both,0.7143,1.0,0.2857,1.0,1.0,0.0,0.8333,1.0,0.1667,5,5
Fuchsia_nigricans,both,0.6667,0.5,-0.1667,0.8,0.8,0.0,0.7273,0.6154,-0.1119,5,5
Fuchsia_petiolaris,both,1.0,0.5,-0.5,0.6,0.4,-0.2,0.75,0.4444,-0.3056,5,5
Gaiadendron_punctatum,both,1.0,0.6667,-0.3333,0.2,0.4,0.2,0.3333,0.5,0.1667,5,5
Galium_hypocarpium,both,0.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.0,5,5
Gallinula_chloropus,both,1.0,1.0,0.0,0.8,1.0,0.2,0.8889,1.0,0.1111,5,5
Gasteracantha_cancriformis,both,1.0,0.7143,-0.2857,1.0,1.0,0.0,1.0,0.8333,-0.1667,5,5
Gaultheria_myrsinoides,both,0.7143,0.8333,0.119,1.0,1.0,0.0,0.8333,0.9091,0.0758,5,5
Gentiana_sedifolia,both,0.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.0,5,5
Geonoma_undata,both,0.8,0.7143,-0.0857,0.8,1.0,0.2,0.8,0.8333,0.0333,5,5
Geospizopsis_unicolor,both,0.8333,0.8333,0.0,1.0,1.0,0.0,0.9091,0.9091,0.0,5,5
Geranoaetus_melanoleucus,both,1.0,0.6667,-0.3333,0.4,0.4,0.0,0.5714,0.5,-0.0714,5,5
Glossoloma_schultzei,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Golofa_eacus,both,0.6667,0.7143,0.0476,0.8,1.0,0.2,0.7273,0.8333,0.106,5,5
Golofa_porteri,both,0.875,1.0,0.125,0.7778,0.7778,0.0,0.8235,0.875,0.0515,9,9
Gonatodes_albogularis,both,0.3333,0.6667,0.3334,0.2,0.4,0.2,0.25,0.5,0.25,5,5
Gonora_hyelosioides,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Grallaria_alvarezi,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,6,6
Grallaria_milleri,both,0.9412,0.9412,0.0,1.0,1.0,0.0,0.9697,0.9697,0.0,16,16
Grallaria_nuchalis,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,8,8
Grallaria_quitensis,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,7,7
Grallaria_ruficapilla,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,15,15
Grallaria_rufocinerea,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,14,14
Grallaria_saturata,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,15,15
Grallaricula_lineifrons,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,15,15
Grallaricula_nana,both,0.8571,1.0,0.1429,1.0,1.0,0.0,0.9231,1.0,0.0769,12,12
Graphita_griphe,both,1.0,1.0,0.0,0.6,0.6,0.0,0.75,0.75,0.0,5,5
Guzmania_multiflora,both,0.5556,0.7143,0.1587,1.0,1.0,0.0,0.7143,0.8333,0.119,5,5
Guzmania_triangularis,both,0.6667,1.0,0.3333,0.4,0.4,0.0,0.5,0.5714,0.0714,5,5
Gymnetis_pantherina,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Hafferia_immaculata,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Halictus_ligatus,both,0.6667,0.7143,0.0476,0.8,1.0,0.2,0.7273,0.8333,0.106,5,5
Hapalopsittaca_amazonina,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Harmonia_axyridis,both,0.7143,0.8333,0.119,1.0,1.0,0.0,0.8333,0.9091,0.0758,5,5
Hedychium_coronarium,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Heliangelus_exortis,both,0.7778,0.7368,-0.041,0.9333,0.9333,0.0,0.8485,0.8235,-0.025,15,15
Heliconia_bihai,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Heliconia_burleana,both,0.6667,1.0,0.3333,0.8,0.8,0.0,0.7273,0.8889,0.1616,5,5
Heliconia_griggsiana,both,0.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.0,5,5
Heliconia_latispatha,both,1.0,0.7143,-0.2857,0.8,1.0,0.2,0.8889,0.8333,-0.0556,5,5
Heliconius_charithonia,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Heliconius_clysonymus,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Heliconius_cydno,both,1.0,0.75,-0.25,1.0,1.0,0.0,1.0,0.8571,-0.1429,6,6
Heliconius_doris,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Heliconius_eleuchia,both,1.0,1.0,0.0,0.8,0.4,-0.4,0.8889,0.5714,-0.3175,5,5
Heliconius_erato,both,1.0,1.0,0.0,0.8571,0.8571,0.0,0.9231,0.9231,0.0,7,7
Heliodoxa_imperatrix,both,1.0,1.0,0.0,0.8,0.6,-0.2,0.8889,0.75,-0.1389,5,5
Heliodoxa_rubinoides,both,1.0,1.0,0.0,0.9167,1.0,0.0833,0.9565,1.0,0.0435,12,12
Heliomaster_longirostris,both,1.0,1.0,0.0,0.4,0.8,0.4,0.5714,0.8889,0.3175,5,5
Hellmayrea_gularis,both,0.875,0.875,0.0,1.0,1.0,0.0,0.9333,0.9333,0.0,7,7
Hemidactylus_frenatus,both,0.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.0,5,5
Hemithraupis_guira,both,1.0,0.8333,-0.1667,1.0,1.0,0.0,1.0,0.9091,-0.0909,5,5
Hermeuptychia_harmonia,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Herpetotheres_cachinnans,both,0.7143,0.7143,0.0,1.0,1.0,0.0,0.8333,0.8333,0.0,5,5
Herpothallon_rubrocinctum,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Heterogomphus_mniszechi,both,0.7143,0.8333,0.119,1.0,1.0,0.0,0.8333,0.9091,0.0758,5,5
Heterogomphus_schoenherri,both,1.0,1.0,0.0,0.8571,1.0,0.1429,0.9231,1.0,0.0769,7,7
Hylophilus_semibrunneus,both,1.0,1.0,0.0,0.6,0.8,0.2,0.75,0.8889,0.1389,5,5
Hypanartia_kefersteini,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Hypanartia_lethe,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Hypopyrrhus_pyrohypogaster,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Icterus_chrysater,both,0.8571,1.0,0.1429,0.75,1.0,0.25,0.8,1.0,0.2,8,8
Icterus_nigrogularis,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Iguana_iguana,both,0.8571,0.8571,0.0,0.75,0.75,0.0,0.8,0.8,0.0,8,8
Imantodes_cenchoa,both,0.8,1.0,0.2,0.8,0.6,-0.2,0.8,0.75,-0.05,5,5
Impatiens_walleriana,both,0.6667,1.0,0.3333,0.4,0.4,0.0,0.5,0.5714,0.0714,5,5
Ipomoea_batatas,both,0.6667,1.0,0.3333,0.4,0.4,0.0,0.5,0.5714,0.0714,5,5
Ipomoea_indica,both,0.75,0.75,0.0,0.6,0.6,0.0,0.6667,0.6667,0.0,5,5
Ipomoea_purpurea,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Iridosornis_porphyrocephalus,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Iridosornis_rufivertex,both,0.8333,0.8333,0.0,1.0,1.0,0.0,0.9091,0.9091,0.0,5,5
Ithomia_iphianassa,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Jacana_jacana,both,0.8,1.0,0.2,0.8,0.8,0.0,0.8,0.8889,0.0889,5,5
Janatella_fellula,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Juglans_neotropica,both,0.6667,1.0,0.3333,0.4,0.4,0.0,0.5,0.5714,0.0714,5,5
Junonia_evarete,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Kinosternon_leucostomum,both,0.8333,0.8333,0.0,1.0,1.0,0.0,0.9091,0.9091,0.0,5,5
Kleinothraupis_atropileus,both,1.0,1.0,0.0,0.5,0.8333,0.3333,0.6667,0.9091,0.2424,6,6
Kohleria_affinis,both,1.0,1.0,0.0,0.75,0.875,0.125,0.8571,0.9333,0.0762,8,8
Kohleria_inaequalis,both,0.8333,0.8333,0.0,1.0,1.0,0.0,0.9091,0.9091,0.0,5,5
Kohleria_spicata,both,0.8,0.6667,-0.1333,0.8,0.8,0.0,0.8,0.7273,-0.0727,5,5
Kohleria_warszewiczii,both,0.8333,0.8333,0.0,1.0,1.0,0.0,0.9091,0.9091,0.0,5,5
Kukulcania_hibernalis,both,0.7143,1.0,0.2857,1.0,1.0,0.0,0.8333,1.0,0.1667,5,5
Lafresnaya_lafresnayi,both,0.9,1.0,0.1,0.9,1.0,0.1,0.9,1.0,0.1,10,10
Langucys_nigropuncta,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Lasiophila_prosymna,both,1.0,1.0,0.0,0.7143,0.8571,0.1428,0.8333,0.9231,0.0898,7,7
Lentinus_flexipes,both,0.7143,0.8333,0.119,1.0,1.0,0.0,0.8333,0.9091,0.0758,5,5
Lepanthes_dunstervilleorum,both,0.5,1.0,0.5,0.6,0.8,0.2,0.5455,0.8889,0.3434,5,5
Lepanthes_gargantua,both,0.7143,0.8333,0.119,1.0,1.0,0.0,0.8333,0.9091,0.0758,5,5
Lepanthes_jardinensis,both,0.8333,1.0,0.1667,1.0,0.8,-0.2,0.9091,0.8889,-0.0202,5,5
Lepanthes_mucronata,both,0.8,1.0,0.2,0.8,0.8,0.0,0.8,0.8889,0.0889,5,5
Lepanthes_tachirensis,both,1.0,0.8333,-0.1667,1.0,1.0,0.0,1.0,0.9091,-0.0909,5,5
Lepidocolaptes_lacrymiger,both,0.6364,0.7273,0.0909,0.7778,0.8889,0.1111,0.7,0.8,0.1,9,9
Lepidocolaptes_souleyetii,both,0.5,1.0,0.5,0.8,0.6,-0.2,0.6154,0.75,0.1346,5,5
Leptodeira_ornata,both,0.4286,0.4444,0.0158,0.6,0.8,0.2,0.5,0.5714,0.0714,5,5
Leptophobia_aripa,both,0.6667,0.625,-0.0417,0.8,1.0,0.2,0.7273,0.7692,0.0419,5,5
Leptopogon_rufipectus,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Leptosittaca_branickii,both,1.0,0.6,-0.4,0.8333,0.5,-0.3333,0.9091,0.5455,-0.3636,6,6
Leptotila_plumbeiceps,both,0.6667,1.0,0.3333,0.8,1.0,0.2,0.7273,1.0,0.2727,5,5
Leuconotopicus_fumigatus,both,0.6667,0.625,-0.0417,0.8,1.0,0.2,0.7273,0.7692,0.0419,5,5
Leucopternis_princeps,both,0.8,0.6667,-0.1333,0.8,0.8,0.0,0.8,0.7273,-0.0727,5,5
Leuenbergeria_bleo,both,0.6667,0.6667,0.0,0.8,0.8,0.0,0.7273,0.7273,0.0,5,5
Linothele_sericata,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Lipaugus_fuscocinereus,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Lissachatina_fulica,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Lycomedes_hirtipes,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Lycorea_cleobaea,both,1.0,0.8333,-0.1667,1.0,1.0,0.0,1.0,0.9091,-0.0909,5,5
Macara_alydda,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Machaeropterus_deliciosus,both,1.0,0.75,-0.25,0.6,0.6,0.0,0.75,0.6667,-0.0833,5,5
Machaeropterus_striolatus,both,0.75,0.75,0.0,0.6,0.6,0.0,0.6667,0.6667,0.0,5,5
Machetornis_rixosa,both,1.0,0.5,-0.5,0.5,0.3333,-0.1667,0.6667,0.4,-0.2667,6,6
Magnolia_yarumalensis,both,0.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.0,5,5
Malacoptila_mystacalis,both,1.0,0.9,-0.1,1.0,1.0,0.0,1.0,0.9474,-0.0526,9,9
Malaveria_rodriguezi,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Manacus_manacus,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Manacus_vitellinus,both,0.875,0.7778,-0.0972,1.0,1.0,0.0,0.9333,0.875,-0.0583,7,7
Manduca_rustica,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Margarornis_squamiger,both,0.6667,0.6,-0.0667,0.75,0.75,0.0,0.7059,0.6667,-0.0392,8,8
Markia_hystrix,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Marpesia_berania,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Marpesia_corinna,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Maruca_vitrata,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Masdevallia_amanda,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Masdevallia_heteroptera,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Masdevallia_hortensis,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Masdevallia_picturata,both,1.0,0.8,-0.2,0.8,0.8,0.0,0.8889,0.8,-0.0889,5,5
Maxillaria_acuminata,both,1.0,1.0,0.0,0.6,0.6,0.0,0.75,0.75,0.0,5,5
Maxillaria_embreei,both,0.7143,0.7143,0.0,1.0,1.0,0.0,0.8333,0.8333,0.0,5,5
Maxillaria_lepidota,both,0.8333,0.8333,0.0,1.0,1.0,0.0,0.9091,0.9091,0.0,5,5
Mechanitis_polymnia,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Mecocerculus_leucophrys,both,0.4,1.0,0.6,0.4,0.8,0.4,0.4,0.8889,0.4889,5,5
Mecocerculus_stictopterus,both,0.5,0.8333,0.3333,1.0,1.0,0.0,0.6667,0.9091,0.2424,5,5
Megaceryle_torquata,both,1.0,1.0,0.0,0.6,0.8,0.2,0.75,0.8889,0.1389,5,5
Megascops_choliba,both,1.0,1.0,0.0,0.8,0.6,-0.2,0.8889,0.75,-0.1389,5,5
Megaskepasma_erythrochlamys,both,0.8,1.0,0.2,0.8,0.6,-0.2,0.8,0.75,-0.05,5,5
Melanchroia_chephise,both,1.0,0.8,-0.2,0.8,0.8,0.0,0.8889,0.8,-0.0889,5,5
Melanerpes_formicivorus,both,0.9167,0.8462,-0.0705,0.9167,0.9167,0.0,0.9167,0.88,-0.0367,12,12
Melanerpes_pulcher,both,0.6667,0.8,0.1333,0.8,0.8,0.0,0.7273,0.8,0.0727,5,5
Melanerpes_rubricapillus,both,0.8333,0.9091,0.0758,1.0,1.0,0.0,0.9091,0.9524,0.0433,10,10
Melanis_pixe,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Melipona_nigrescens,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Memphis_lyceus,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Menemerus_bivittatus,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,6,6
Merganetta_armata,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Mesothen_nomia,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Metallura_tyrianthina,both,0.7778,0.75,-0.0278,0.7778,0.6667,-0.1111,0.7778,0.7059,-0.0719,9,9
Metallura_williami,both,0.8,1.0,0.2,0.8,0.8,0.0,0.8,0.8889,0.0889,5,5
Miconia_aeruginosa,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Miconia_asperrima,both,0.8333,0.7143,-0.119,1.0,1.0,0.0,0.9091,0.8333,-0.0758,5,5
Miconia_salicifolia,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Miconia_trichocalyx,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Micrathena_lucasi,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Micrurus_mipartitus,both,1.0,1.0,0.0,0.4,0.6,0.2,0.5714,0.75,0.1786,5,5
Mimoniades_nurscia,both,1.0,0.7143,-0.2857,1.0,1.0,0.0,1.0,0.8333,-0.1667,5,5
Mimus_gilvus,both,1.0,1.0,0.0,0.6,0.6,0.0,0.75,0.75,0.0,5,5
Mionectes_oleagineus,both,0.8,0.6667,-0.1333,0.8,0.8,0.0,0.8,0.7273,-0.0727,5,5
Mniotilta_varia,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Molothrus_bonariensis,both,0.6,0.7273,0.1273,0.6,0.8,0.2,0.6,0.7619,0.1619,10,10
Momordica_charantia,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Momotus_aequatorialis,both,0.9286,0.8667,-0.0619,0.8667,0.8667,0.0,0.8966,0.8667,-0.0299,15,15
Monochaetum_multiflorum,both,1.0,0.8333,-0.1667,0.8,1.0,0.2,0.8889,0.9091,0.0202,5,5
Morella_pubescens,both,1.0,1.0,0.0,0.6,0.6,0.0,0.75,0.75,0.0,5,5
Morpho_sulkowskyi,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Muntingia_calabura,both,0.5714,0.6667,0.0953,0.8,0.8,0.0,0.6667,0.7273,0.0606,5,5
Musa_velutina,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Mutisia_clematis,both,0.8,1.0,0.2,0.8,0.8,0.0,0.8,0.8889,0.0889,5,5
Myadestes_ralloides,both,0.75,0.75,0.0,0.6,0.6,0.0,0.6667,0.6667,0.0,5,5
Myiarchus_cephalotes,both,1.0,0.8,-0.2,0.8,0.8,0.0,0.8889,0.8,-0.0889,5,5
Myioborus_miniatus,both,0.6667,0.6667,0.0,0.75,0.75,0.0,0.7059,0.7059,0.0,8,8
Myioborus_ornatus,both,0.9286,0.8667,-0.0619,0.8667,0.8667,0.0,0.8966,0.8667,-0.0299,15,15
Myiodynastes_hemichrysus,both,0.8,1.0,0.2,0.8,0.8,0.0,0.8,0.8889,0.0889,5,5
Myiodynastes_maculatus,both,1.0,1.0,0.0,0.4,0.6,0.2,0.5714,0.75,0.1786,5,5
Myiotheretes_striaticollis,both,0.625,0.8333,0.2083,1.0,1.0,0.0,0.7692,0.9091,0.1399,5,5
Myiothlypis_coronata,both,1.0,0.8,-0.2,0.6,0.8,0.2,0.75,0.8,0.05,5,5
Myiothlypis_fulvicauda,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Myiothlypis_nigrocristata,both,0.6667,1.0,0.3333,0.8,0.8,0.0,0.7273,0.8889,0.1616,5,5
Myiozetetes_cayanensis,both,1.0,1.0,0.0,0.1429,0.1429,0.0,0.25,0.25,0.0,7,7
Mythimna_unipuncta,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Nasua_olivacea,both,1.0,1.0,0.0,0.6,0.6,0.0,0.75,0.75,0.0,5,5
Necyria_bellona,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Nertera_granadensis,both,1.0,0.8,-0.2,0.6,0.8,0.2,0.75,0.8,0.05,5,5
Notiochelidon_cyanoleuca,both,0.75,0.75,0.0,0.75,0.75,0.0,0.75,0.75,0.0,8,8
Notiochelidon_murina,both,0.5556,0.7778,0.2222,0.7143,1.0,0.2857,0.625,0.875,0.25,7,7
Nyctibius_griseus,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Nycticorax_nycticorax,both,0.6667,1.0,0.3333,0.4,0.4,0.0,0.5,0.5714,0.0714,5,5
Nymphargus_grandisonae,both,1.0,1.0,0.0,1.0,0.8,-0.2,1.0,0.8889,-0.1111,5,5
Ochthoeca_cinnamomeiventris,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Ochthoeca_diadema,both,0.9167,1.0,0.0833,0.9167,0.8333,-0.0834,0.9167,0.9091,-0.0076,12,12
Ochthoeca_frontalis,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Ochthoeca_fumicolor,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Ochthoeca_rufipectoralis,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Ocreatus_underwoodii,both,1.0,1.0,0.0,0.6,0.6,0.0,0.75,0.75,0.0,5,5
Odontomachus_erythrocephalus,both,0.7143,0.8333,0.119,1.0,1.0,0.0,0.8333,0.9091,0.0758,5,5
Ognorhynchus_icterotis,both,0.7143,0.7143,0.0,1.0,1.0,0.0,0.8333,0.8333,0.0,5,5
Oncidium_cultratum,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Oncidium_lehmannii,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Oncidium_luteopurpureum,both,1.0,0.8,-0.2,0.8,0.8,0.0,0.8889,0.8,-0.0889,5,5
Oncidium_ornithorhynchum,both,0.75,1.0,0.25,0.8571,0.8571,0.0,0.8,0.9231,0.1231,7,7
Opaon_varicolor,both,1.0,1.0,0.0,0.6,0.6,0.0,0.75,0.75,0.0,5,5
Opsiphanes_quiteria,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Oressinoma_typhla,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Ortalis_columbiana,both,1.0,0.7143,-0.2857,0.6667,0.8333,0.1666,0.8,0.7692,-0.0308,6,6
Orthrosanthus_chimboracensis,both,0.75,0.75,0.0,0.6,0.6,0.0,0.6667,0.6667,0.0,5,5
Oxypogon_stuebelii,both,1.0,0.7778,-0.2222,1.0,1.0,0.0,1.0,0.875,-0.125,7,7
Oxyrhopus_petolarius,both,0.4444,0.5714,0.127,0.8,0.8,0.0,0.5714,0.6667,0.0953,5,5
Oxysternon_conspicillatum,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Pachyramphus_polychopterus,both,0.75,0.8,0.05,0.6,0.8,0.2,0.6667,0.8,0.1333,5,5
Pachystachys_lutea,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Palicourea_angustifolia,both,0.6,1.0,0.4,0.6,0.6,0.0,0.6,0.75,0.15,5,5
