gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
5153072593	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/498460946/original.jpeg	https://www.inaturalist.org/photos/498460946					2024-11-10T07:39:17Z	Valeria Arce		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Valeria Arce
5153072593	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/498460888/original.jpeg	https://www.inaturalist.org/photos/498460888					2024-11-10T04:15:05Z	Valeria Arce		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Valeria Arce
5153071308	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/500743130/original.jpeg	https://www.inaturalist.org/photos/500743130					2024-09-04T19:31:56Z	Lepidoptera Colombiana 🇨🇴		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Lepidoptera Colombiana 🇨🇴
5153071308	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/500743163/original.jpeg	https://www.inaturalist.org/photos/500743163					2024-09-04T19:35:31Z	Lepidoptera Colombiana 🇨🇴		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Lepidoptera Colombiana 🇨🇴
5153070698	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461546564/original.jpg	https://www.inaturalist.org/photos/461546564					2024-11-18T22:54:21Z	cmmteixeira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmmteixeira
5153070697	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461545554/original.jpg	https://www.inaturalist.org/photos/461545554					2024-11-18T17:36:12Z	cmmteixeira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmmteixeira
5153070697	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461545559/original.jpg	https://www.inaturalist.org/photos/461545559					2024-11-18T17:36:11Z	cmmteixeira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmmteixeira
5153066870	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/475872156/original.jpg	https://www.inaturalist.org/photos/475872156					2025-03-11T16:21:11Z	Allan Harris		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Allan Harris
5153066805	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461546921/original.jpg	https://www.inaturalist.org/photos/461546921					2024-11-19T00:59:10Z	cmmteixeira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmmteixeira
5153066805	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461546911/original.jpg	https://www.inaturalist.org/photos/461546911					2024-11-19T00:58:56Z	cmmteixeira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmmteixeira
