species,precision,recall,f1_score,support
Aotus_lemurinus,1.0,0.8,0.8889,5
Aphelandra_runcinata,0.7143,1.0,0.8333,5
Apis_mellifera,0.9091,0.8333,0.8696,12
Ara_severus,1.0,0.8,0.8889,5
Araneus_granadensis,1.0,1.0,1.0,5
Aratinga_pertinax,0.8,0.8,0.8,5
Aratinga_wagleri,0.7143,1.0,0.8333,5
Araucaria_columnaris,1.0,0.8,0.8889,5
Archonias_flisa,1.0,1.0,1.0,5
Ardea_alba,0.75,0.6,0.6667,5
Ardea_cocoi,0.8333,1.0,0.9091,5
Argiope_argentata,1.0,1.0,1.0,7
Aristolochia_cordiflora,0.8,0.8,0.8,5
Arremon_assimilis,0.9375,1.0,0.9677,15
Arremon_brunneinucha,0.8333,1.0,0.9091,5
Arundina_graminifolia,0.6667,0.8,0.7273,5
Ascalapha_odorata,1.0,1.0,1.0,8
Asclepias_curassavica,1.0,1.0,1.0,5
Asio_stygius,0.7143,1.0,0.8333,5
Atlapetes_albinucha,1.0,0.6,0.75,5
Atlapetes_flaviceps,0.75,0.6,0.6667,5
Atlapetes_pallidinucha,1.0,1.0,1.0,8
Atlapetes_schistaceus,1.0,0.9333,0.9655,15
Atractus_lehmanni,0.625,1.0,0.7692,5
Atractus_obesus,1.0,0.8,0.8889,5
Atta_cephalotes,0.8333,1.0,0.9091,5
Aulacorhynchus_albivitta,0.9167,1.0,0.9565,11
Aulacorhynchus_haematopygus,1.0,1.0,1.0,5
Baccharis_latifolia,0.4,0.8,0.5333,5
Bangsia_melanochlamys,1.0,0.8,0.8889,5
Basileuterus_culicivorus,0.8333,1.0,0.9091,5
Basiliscus_galeritus,0.8,0.8,0.8,5
Begonia_lehmannii,1.0,0.8,0.8889,5
Begonia_maurandiae,1.0,1.0,1.0,5
Begonia_umbellata,0.7143,0.8333,0.7692,6
Begonia_urticae,1.0,0.9167,0.9565,12
Bellucia_pentamera,0.8,0.8,0.8,5
Besleria_cinnabarina,0.75,0.6,0.6667,5
Boana_platanera,0.75,0.6,0.6667,5
Boana_pugnax,0.7143,1.0,0.8333,5
Bocconia_frutescens,1.0,0.8,0.8889,5
Boissonneaua_flavescens,0.9333,0.9333,0.9333,15
Boissonneaua_jardini,1.0,1.0,1.0,5
Bolborhynchus_ferrugineifrons,0.8333,1.0,0.9091,5
Bolitoglossa_lozanoi,0.8333,1.0,0.9091,5
Bombus_funebris,0.8333,1.0,0.9091,5
Bombus_hortulanus,0.8333,1.0,0.9091,5
Bombus_pauloensis,0.8333,1.0,0.9091,5
Bombus_rubicundus,0.6667,0.8,0.7273,5
Bothriechis_schlegelii,1.0,0.8,0.8889,5
Bubulcus_ibis,1.0,1.0,1.0,6
Burmeistera_bullatifolia,0.6667,0.8,0.7273,5
Busarellus_nigricollis,1.0,1.0,1.0,5
Buteo_albicaudatus,0.75,0.6,0.6667,5
Buteo_brachyurus,1.0,0.6,0.75,5
Buteo_platypterus,0.9,0.9,0.9,10
Buthraupis_montana,0.8182,0.9,0.8571,10
Butorides_striata,0.625,1.0,0.7692,5
Cacicus_chrysonotus,0.75,0.6,0.6667,5
Caiman_crocodilus,1.0,1.0,1.0,5
Caligo_atreus,1.0,1.0,1.0,5
Caligo_oileus,0.8333,1.0,0.9091,5
Callianthe_megapotamica,0.8,0.8,0.8,5
Callianthe_picta,0.6667,0.8,0.7273,5
Calliphlox_mitchellii,0.6667,0.8,0.7273,5
Campephilus_pollens,0.625,1.0,0.7692,5
Capito_hypoleucus,1.0,1.0,1.0,5
Capsicum_dimorphum,0.75,0.6,0.6667,5
Caracara_plancus,0.875,0.875,0.875,8
Cardellina_canadensis,1.0,0.6,0.75,5
Castilia_eranites,1.0,0.6,0.75,5
Castilleja_arvensis,1.0,0.8,0.8889,5
Castilleja_fissifolia,1.0,1.0,1.0,5
Catamblyrhynchus_diadema,0.8333,1.0,0.9091,5
Catamenia_homochroa,1.0,0.6,0.75,5
Catamenia_inornata,0.7143,1.0,0.8333,5
Catasetum_tabulare,0.8333,1.0,0.9091,5
Catasticta_prioneris,1.0,1.0,1.0,5
Cathartes_aura,1.0,0.8,0.8889,5
Catharus_fuscater,1.0,0.6,0.75,5
Catharus_ustulatus,1.0,0.6667,0.8,6
Cecropia_angustifolia,0.75,0.6,0.6667,5
Cecropia_telealba,0.6667,0.8,0.7273,5
Centropogon_ferrugineus,1.0,0.8,0.8889,5
Centropogon_foetidus,1.0,0.8,0.8889,5
Centropogon_leucophyllus,0.8,0.8,0.8,5
Cerdocyon_thous,1.0,1.0,1.0,5
Ceroxylon_quindiuense,0.8,0.8,0.8,5
Certhiaxis_cinnamomeus,0.8333,1.0,0.9091,5
Chaetocercus_mulsant,0.8333,0.8333,0.8333,12
Chaetogastra_gracilis,1.0,1.0,1.0,5
Chaetogastra_grossa,1.0,1.0,1.0,5
Chaetogastra_mollis,1.0,0.6,0.75,5
Chalcostigma_herrani,0.9231,1.0,0.96,12
Chalybura_buffonii,0.7143,1.0,0.8333,5
Chamaedorea_linearis,0.5,0.4,0.4444,5
Chamaedorea_pinnatifrons,0.6,0.6,0.6,5
Chamaepetes_goudotii,1.0,0.7857,0.88,14
Chauna_chavaria,1.0,1.0,1.0,5
Chironius_monticola,0.8,0.8,0.8,5
Chloroceryle_americana,0.8333,1.0,0.9091,5
Chlorophanes_spiza,1.0,0.9,0.9474,10
Chlorornis_riefferii,1.0,1.0,1.0,5
Chlorospingus_flavopectus,0.5714,0.8,0.6667,5
Chlorostilbon_melanorhynchus,0.6667,0.4,0.5,5
Chlosyne_lacinia,1.0,1.0,1.0,5
Choeradodis_rhombicollis,0.75,0.6,0.6667,5
Chrysomus_icterocephalus,0.7143,1.0,0.8333,5
Chrysso_nigriceps,1.0,1.0,1.0,5
Cinclodes_excelsior,0.625,1.0,0.7692,5
Cinclus_leucocephalus,1.0,1.0,1.0,9
Cinnycerthia_olivascens,0.8,0.8,0.8,5
Cistothorus_platensis,0.8,0.6667,0.7273,6
Clathrus_archeri,0.8,0.8,0.8,5
Clelia_equatoriana,0.7143,1.0,0.8333,5
Cnemathraupis_eximia,1.0,1.0,1.0,5
Cnemoscopus_rubrirostris,1.0,0.6667,0.8,6
Coeligena_coeligena,1.0,1.0,1.0,10
Coeligena_lutetiae,0.8333,1.0,0.9091,15
Coeligena_torquata,0.9167,0.7333,0.8148,15
Coeligena_wilsoni,0.7143,1.0,0.8333,5
Coereba_flaveola,0.3333,0.2,0.25,5
Colaptes_punctigula,1.0,1.0,1.0,5
Colaptes_rivolii,1.0,1.0,1.0,11
Colaptes_rubiginosus,1.0,0.8,0.8889,5
Colibri_coruscans,1.0,1.0,1.0,15
Colibri_cyanotus,0.8462,1.0,0.9167,11
