================================================================================
  CLASSIFICATION REPORT - BioPlatform Caldas CNN
================================================================================

  Overall Accuracy:   0.8520 (85.2%)
  Top 5 Accuracy: 0.9453 (94.5%)
  Total Test Samples: 4,386
  Number of Classes:  719

────────────────────────────────────────────────────────────────────────────────
  F1-SCORE THRESHOLD SUMMARY  (F1 = harmonic mean of Precision & Recall)
────────────────────────────────────────────────────────────────────────────────
  F1 >= 0.9               =   288 species
  F1 >= 0.7 & < 0.9       =   331 species
  F1 >= 0.5 & < 0.7       =    85 species
  F1 < 0.5                =    15 species
────────────────────────────────────────────────────────────────────────────────

────────────────────────────────────────────────────────────────────────────────
  ▸ F1 >= 0.9  (288 species)
────────────────────────────────────────────────────────────────────────────────
  Species                                   Precision     Recall         F1    Support
  Didelphis_marsupialis                        1.0000     1.0000     1.0000          5
  Diglossa_cyanea                              0.8750     0.9333     0.9032         15
  Dione_glycera                                0.8333     1.0000     0.9091          5
  Donacobius_atricapilla                       0.8333     1.0000     0.9091          5
  Elaenia_frantzii                             0.8333     1.0000     0.9091          5
  Elleanthus_aurantiacus                       1.0000     1.0000     1.0000          5
  Ensifera_ensifera                            0.9333     0.9333     0.9333         15
  Epidendrum_cleistocoleum                     1.0000     1.0000     1.0000          5
  Epidendrum_cottoniiflorum                    1.0000     1.0000     1.0000          5
  Epidendrum_cylindrostachys                   0.8333     1.0000     0.9091          5
  Epidendrum_porphyreum                        0.8333     1.0000     0.9091          5
  Epidendrum_posadarum                         1.0000     1.0000     1.0000          5
  Epiphile_chrysites                           1.0000     1.0000     1.0000          5
  Eresia_clio                                  1.0000     1.0000     1.0000          5
  Eriophora_edax                               1.0000     1.0000     1.0000          5
  Espeletia_hartwegiana                        0.8333     1.0000     0.9091          5
  Eubucco_bourcierii                           0.8333     1.0000     0.9091          5
  Eueides_procula                              1.0000     1.0000     1.0000          5
  Euphonia_cyanocephala                        0.8333     1.0000     0.9091          5
  Euphonia_xanthogaster                        1.0000     1.0000     1.0000          5
  Euptychoides_saturnus                        0.8333     1.0000     0.9091          5
  Euryglottis_aper                             1.0000     1.0000     1.0000          5
  Florisuga_mellivora                          0.8750     1.0000     0.9333          7
  Forpus_conspicillatus                        1.0000     1.0000     1.0000          9
  Gasteracantha_cancriformis                   1.0000     1.0000     1.0000          5
  Geospizopsis_unicolor                        0.8333     1.0000     0.9091          5
  Gonora_hyelosioides                          1.0000     1.0000     1.0000          5
  Grallaria_alvarezi                           1.0000     1.0000     1.0000          6
  Grallaria_milleri                            0.9412     1.0000     0.9697         16
  Grallaria_nuchalis                           1.0000     1.0000     1.0000          8
  Grallaria_quitensis                          1.0000     1.0000     1.0000          7
  Grallaria_ruficapilla                        1.0000     1.0000     1.0000         15
  Grallaria_rufocinerea                        1.0000     1.0000     1.0000         14
  Grallaria_saturata                           1.0000     1.0000     1.0000         15
  Grallaricula_lineifrons                      1.0000     1.0000     1.0000         15
  Grallaricula_nana                            0.8571     1.0000     0.9231         12
  Hafferia_immaculata                          1.0000     1.0000     1.0000          5
  Hedychium_coronarium                         0.8333     1.0000     0.9091          5
  Heliconia_bihai                              1.0000     1.0000     1.0000          5
  Heliconius_charithonia                       1.0000     1.0000     1.0000          5
  Heliconius_clysonymus                        1.0000     1.0000     1.0000          5
  Heliconius_cydno                             1.0000     1.0000     1.0000          6
