================================================================================
  CLASSIFICATION REPORT - BioPlatform Caldas CNN
================================================================================

  Overall Accuracy:   0.8739 (87.4%)
  Top 5 Accuracy: 0.9514 (95.1%)
  Total Test Samples: 4,386
  Number of Classes:  719

────────────────────────────────────────────────────────────────────────────────
  F1-SCORE THRESHOLD SUMMARY  (F1 = harmonic mean of Precision & Recall)
────────────────────────────────────────────────────────────────────────────────
  F1 >= 0.9               =   337 species
  F1 >= 0.7 & < 0.9       =   300 species
  F1 >= 0.5 & < 0.7       =    71 species
  F1 < 0.5                =    11 species
────────────────────────────────────────────────────────────────────────────────

────────────────────────────────────────────────────────────────────────────────
  ▸ F1 >= 0.9  (337 species)
────────────────────────────────────────────────────────────────────────────────
  Species                                   Precision     Recall         F1    Support
  Coprinellus_disseminatus                     0.8333     1.0000     0.9091          5
  Corades_chelonis                             1.0000     1.0000     1.0000          5
  Coragyps_atratus                             1.0000     1.0000     1.0000         12
  Crassocephalum_crepidioides                  1.0000     1.0000     1.0000          5
  Crypturellus_soui                            1.0000     1.0000     1.0000          5
  Cyanocorax_affinis                           0.8333     1.0000     0.9091          5
  Cyanolyca_armillata                          1.0000     1.0000     1.0000          5
  Cyanopepla_micans                            1.0000     1.0000     1.0000          5
  Cybdelis_mnasylus                            1.0000     1.0000     1.0000          5
  Cyclocephala_lunulata                        0.8333     1.0000     0.9091          5
  Cyrtochilum_diceratum                        1.0000     1.0000     1.0000          5
  Cyrtochilum_halteratum                       1.0000     1.0000     1.0000          5
  Cyrtochilum_scabiosum                        1.0000     1.0000     1.0000          5
  Dendrobates_truncatus                        1.0000     1.0000     1.0000          5
  Dendrocincla_fuliginosa                      0.8333     1.0000     0.9091          5
  Diabrotica_decempunctata                     0.8333     1.0000     0.9091          5
  Diaethria_clymena                            1.0000     1.0000     1.0000          5
  Didelphis_marsupialis                        1.0000     1.0000     1.0000          5
  Diglossa_cyanea                              0.9375     1.0000     0.9677         15
  Dione_glycera                                1.0000     1.0000     1.0000          5
  Dipsas_sanctijoannis                         1.0000     1.0000     1.0000          5
  Donacobius_atricapilla                       1.0000     1.0000     1.0000          5
  Dryocopus_lineatus                           1.0000     1.0000     1.0000          5
  Elaenia_frantzii                             0.8333     1.0000     0.9091          5
  Ensifera_ensifera                            0.9333     0.9333     0.9333         15
  Epidendrum_cylindrostachys                   0.8333     1.0000     0.9091          5
  Epidendrum_porphyreum                        0.8333     1.0000     0.9091          5
  Epidendrum_posadarum                         0.8333     1.0000     0.9091          5
  Epiphile_chrysites                           1.0000     1.0000     1.0000          5
  Eresia_clio                                  1.0000     1.0000     1.0000          5
  Eriocnemis_mosquera                          0.8889     1.0000     0.9412          8
  Eriophora_edax                               1.0000     1.0000     1.0000          5
  Espeletia_hartwegiana                        1.0000     1.0000     1.0000          5
  Eubucco_bourcierii                           1.0000     1.0000     1.0000          5
  Eueides_procula                              1.0000     1.0000     1.0000          5
  Euphonia_cyanocephala                        0.8333     1.0000     0.9091          5
  Euptychoides_saturnus                        1.0000     1.0000     1.0000          5
  Euryglottis_aper                             1.0000     1.0000     1.0000          5
  Florisuga_mellivora                          0.8750     1.0000     0.9333          7
  Forpus_conspicillatus                        1.0000     0.8889     0.9412          9
  Fuchsia_boliviana                            1.0000     1.0000     1.0000          5
  Galium_hypocarpium                           1.0000     1.0000     1.0000          5
  Gasteracantha_cancriformis                   1.0000     1.0000     1.0000          5
  Gaultheria_myrsinoides                       0.8333     1.0000     0.9091          5
  Geonoma_undata                               1.0000     1.0000     1.0000          5
  Geospizopsis_unicolor                        0.8333     1.0000     0.9091          5
  Glossoloma_schultzei                         1.0000     1.0000     1.0000          5
  Golofa_eacus                                 1.0000     1.0000     1.0000          5
  Golofa_porteri                               1.0000     1.0000     1.0000          9
  Gonora_hyelosioides                          1.0000     1.0000     1.0000          5
  Grallaria_alvarezi                           1.0000     0.8333     0.9091          6
  Grallaria_milleri                            1.0000     1.0000     1.0000         16
  Grallaria_nuchalis                           1.0000     1.0000     1.0000          8
  Grallaria_quitensis                          0.8750     1.0000     0.9333          7
  Grallaria_ruficapilla                        1.0000     1.0000     1.0000         15
  Grallaria_rufocinerea                        1.0000     1.0000     1.0000         14
  Grallaria_saturata                           1.0000     1.0000     1.0000         15
  Grallaricula_lineifrons                      1.0000     1.0000     1.0000         15
  Grallaricula_nana                            1.0000     1.0000     1.0000         12
  Hafferia_immaculata                          0.8333     1.0000     0.9091          5
  Halictus_ligatus                             0.8333     1.0000     0.9091          5
  Hedychium_coronarium                         1.0000     1.0000     1.0000          5
  Heliconia_bihai                              1.0000     1.0000     1.0000          5
