scientific_name,sources,in_cnn_dataset,sib_id,threat_status,thumbnail_url
Cinnycerthia unirufa,sib_caldas,False,56c3aeddf0106c67230e7356,Preocupación menor (LC),https://inaturalist-open-data.s3.amazonaws.com/photos/163431025/large.jpeg
Cistothorus platensis,dataset,True,,,
Clathrus archeri,dataset,True,,,
Clavija latifolia,sib_caldas,False,56702adcf289f5a40c0cd2a1,No evaluado (NE),https://inaturalist-open-data.s3.amazonaws.com/photos/100685714/original.jpg
Clelia clelia,sib_caldas,False,56cbe970207ecea54a561e17,,http://upload.wikimedia.org/wikipedia/commons/5/53/Mussurana2.jpg
Clelia equatoriana,dataset,True,,,
Clibadium surinamense,sib_caldas,False,593b70ce2f4fd7bc7f387c84,,https://upload.wikimedia.org/wikipedia/commons/e/e4/Clibadium_surinamense_2.jpg
Cnemathraupis eximia,dataset,True,,,
Cnemidophorus lemniscatus,sib_caldas,False,56d1a9273c16479905cba84e,,https://upload.wikimedia.org/wikipedia/commons/6/6c/Rainbow_whiptail_%28Cnemidophorus_lemniscatus%29_Parque_Nacional_Natural_Tayrona_04.jpg
Cnemoscopus rubrirostris,dataset,True,,,
Coccycua pumila,sib_caldas,False,56c3d3f9f0106c67230e7361,Preocupación menor (LC),https://inaturalist-open-data.s3.amazonaws.com/photos/173608622/large.jpeg
Coccyzus americanus,sib_caldas,False,56c3dbbdf0106c67230e7365,Preocupación menor (LC),http://upload.wikimedia.org/wikipedia/commons/3/34/Coccyzus-americanus-001.jpg
Coccyzus melacoryphus,sib_caldas,False,56c3e8e7f0106c67230e7367,,https://inaturalist-open-data.s3.amazonaws.com/photos/118741546/original.jpeg
Coeligena coeligena,dataset,True,,,
Coeligena lutetiae,dataset,True,,,
Coeligena torquata,dataset,True,,,
Coeligena wilsoni,dataset,True,,,
Coereba flaveola,dataset,True,,,
Colaptes punctigula,dataset,True,,,
Colaptes rivolii,dataset,True,,,
Colaptes rubiginosus,dataset,True,,,
Colibri coruscans,dataset|sib_caldas,True,56c4a8dcf0106c67230e7385,Preocupación menor (LC),https://inaturalist-open-data.s3.amazonaws.com/photos/176046748/original.jpeg
Colibri cyanotus,dataset,True,,,
Colinus cristatus,sib_caldas,False,56e79aa583c45700544e4209,Preocupación menor (LC),http://upload.wikimedia.org/wikipedia/commons/3/33/Colinus_cristatus_-Curacao%2C_Netherlands_Antilles-8a.jpg
Colobura dirce,dataset,True,,,
Colonia colonus,dataset,True,,,
Columba livia,sib_caldas,False,56c4b5f1f0106c67230e7387,Preocupación menor (LC),https://upload.wikimedia.org/wikipedia/commons/3/38/050529_Barcelona_110.jpg
Columbina talpacoti,dataset|sib_caldas,True,56c4be5ef0106c67230e7389,Preocupación menor (LC),https://upload.wikimedia.org/wikipedia/commons/a/aa/Columbina_talpacoti.jpg
Columnea anisophylla,sib_caldas,False,5fda5d2a5418d2140854a12a,,https://inaturalist-open-data.s3.amazonaws.com/photos/175982652/original.jpg
Columnea bilabiata,sib_caldas,False,5fdac6843de4da050ff2fabd,,https://inaturalist-open-data.s3.amazonaws.com/photos/232525701/original.jpeg
Columnea ceticeps,dataset,True,,,
Columnea dimidiata,sib_caldas,False,5fda4059e63f37250730e1b2,,https://inaturalist-open-data.s3.amazonaws.com/photos/179035949/original.jpeg
Columnea fuscihirta,dataset,True,,,
